source,target,weight
Military Forces of Myanmar (2021-),KIO/KIA: Kachin Independence Organization/Kachin Independence Army,1595
Military Forces of Myanmar (2021-),KNU/KNLA: Karen National Union/Karen National Liberation Army,1578
Military Forces of Myanmar (2021-),ULA/AA: United League of Arakan/Arakan Army,1279
Military Forces of Myanmar (2021-),PSLF/TNLA: Palaung State Liberation Front/Ta'ang National Liberation Army,792
Military Forces of Myanmar (2021-),KNDF: Karenni Nationalities Defense Force,743
Military Forces of Myanmar (2021-),MNTJP/MNDAA: Myanmar National Truth and Justice Party/Myanmar National Democratic Alliance Army,510
Military Forces of Myanmar (2021-),KNPP/KA: Karenni National Progressive Party/Karenni Army,435
Military Forces of Myanmar (2021-),NLD: National League for Democracy,367
Military Forces of Myanmar (2021-),People's Defense Force - Myaing,350
Military Forces of Myanmar (2021-),KPDF: Kachin Region People's Defense Force,247
Military Forces of Myanmar (2021-),CNF/CNA: Chin National Front/Chin National Army,236
Military Forces of Myanmar (2021-),ABSDF: All Burma Students' Democratic Front,203
Military Forces of Myanmar (2021-),People's Defense Force - Shwebo District,197
Military Forces of Myanmar (2021-),People's Defense Force - Demoso,196
Military Forces of Myanmar (2021-),People's Defense Force - Monywa District,192
Military Forces of Myanmar (2021-),People's Defense Force - Myingyan District,184
Military Forces of Myanmar (2021-),KNDO: Karen National Defence Organization,169
Military Forces of Myanmar (2021-),Chinland Defense Force - Mindat,166
Military Forces of Myanmar (2021-),Government of Myanmar (2016-),163
Military Forces of Myanmar (2021-),People's Defense Force - Kalay,162
Military Forces of Myanmar (2021-),People's Defense Force - Pakokku District,159
Military Forces of Myanmar (2021-),CDF-KKG: Chinland Defense Force - Kalay-Kabaw-Gangaw,148
Military Forces of Myanmar (2021-),People's Defense Force - Pekon,142
ULA/AA: United League of Arakan/Arakan Army,Police Forces of Myanmar (2021-) Border Guard Police,141
Military Forces of Myanmar (2021-),Cobra Column,131
Military Forces of Myanmar (2021-),CNO/CNDF: Chin National Organization/Chin National Defense Force,130
Military Forces of Myanmar (2021-),People's Defense Force - Yesagyo,130
Military Forces of Myanmar (2021-),Kani People's Defense Force - KLG,129
Pyu Saw Htee,People's Defense Force - Myaing,129
Military Forces of Myanmar (2021-),Chinland Defense Force - Hakha,127
Pyu Saw Htee,PDF: People's Defense Force,125
Police Forces of Myanmar (2021-),PDF: People's Defense Force,124
