source,target,weight
KNU/KNLA: Karen National Union/Karen National Liberation Army,PDF: People's Defense Force,396
KNDF: Karenni Nationalities Defense Force,KNPP/KA: Karenni National Progressive Party/Karenni Army,377
KIO/KIA: Kachin Independence Organization/Kachin Independence Army,PDF: People's Defense Force,286
KIO/KIA: Kachin Independence Organization/Kachin Independence Army,KPDF: Kachin Region People's Defense Force,246
KNDF: Karenni Nationalities Defense Force,People's Defense Force - Demoso,114
KNDF: Karenni Nationalities Defense Force,People's Defense Force - Loikaw,103
KNU/KNLA: Karen National Union/Karen National Liberation Army,Cobra Column,95
KNDF: Karenni Nationalities Defense Force,People's Defense Force - Pekon,87
NLD: National League for Democracy,Government of Myanmar (2016-),87
KNPP/KA: Karenni National Progressive Party/Karenni Army,People's Defense Force - Demoso,85
CNF/CNA: Chin National Front/Chin National Army,Chinland Defense Force - Hakha,80
CNF/CNA: Chin National Front/Chin National Army,Chinland Defense Force - Thantlang,77
KNU/KNLA: Karen National Union/Karen National Liberation Army,KNDO: Karen National Defence Organization,76
KIO/KIA: Kachin Independence Organization/Kachin Independence Army,ABSDF: All Burma Students' Democratic Front,70
KNPP/KA: Karenni National Progressive Party/Karenni Army,People's Defense Force - Loikaw,69
People's Defense Force - Demoso,People's Defense Force - Loikaw,69
People's Defense Force - Myaing,People's Defense Force - Pakokku District,60
KIO/KIA: Kachin Independence Organization/Kachin Independence Army,ULA/AA: United League of Arakan/Arakan Army,55
People's Defense Force - Kalay,CDF-KKG: Chinland Defense Force - Kalay-Kabaw-Gangaw,54
People's Defense Force - Demoso,People's Defense Force - Pekon,51
Chinland Defense Force - Hakha,Chinland Defense Force - Thantlang,46
PDF: People's Defense Force,ABSDF: All Burma Students' Democratic Front,46
People's Defense Force - Kalay,CNO/CNDF: Chin National Organization/Chin National Defense Force,41
Pyu Saw Htee,SNA: Shanni Nationalities Army,40
KNPP/KA: Karenni National Progressive Party/Karenni Army,People's Defense Force - Pekon,38
People's Defense Force - Pekon,People's Defense Force - Loikaw,37
CNF/CNA: Chin National Front/Chin National Army,CDF-KKG: Chinland Defense Force - Kalay-Kabaw-Gangaw,32
ULA/AA: United League of Arakan/Arakan Army,MNTJP/MNDAA: Myanmar National Truth and Justice Party/Myanmar National Democratic Alliance Army,32
People's Defense Force - Myingyan District,People's Defense Force - Sagaing District,28
KNU/KNLA: Karen National Union/Karen National Liberation Army,ABSDF: All Burma Students' Democratic Front,27
Kani People's Defense Force - KLG,People's Defense Force - Yinmarbin District,27
CDF-KKG: Chinland Defense Force - Kalay-Kabaw-Gangaw,Chinland Defense Force - Hakha,26
PDF: People's Defense Force,KNDF: Karenni Nationalities Defense Force,26
People's Defense Force - Pakokku District,People's Defense Force - Yesagyo,26
ULA/AA: United League of Arakan/Arakan Army,KPDF: Kachin Region People's Defense Force,23
ULA/AA: United League of Arakan/Arakan Army,PDF: People's Defense Force,22
PDF: People's Defense Force,People's Defense Force - Shwebo District,21
